client_id,activity_date,total_orders,total_revenue,avg_order_value,return_rate,days_since_last_order,product_categories_used,device_type,has_app_installed,email_open_rate,discount_usage_pct,reviews_written,country,churned
E000001,2026-04-29,10,802.15,80.21,0.074,31.0,3,desktop,True,0.491,0.676,0,US,0
E000002,2026-05-06,11,712.76,64.8,0.206,24.0,4,mobile,True,0.441,0.44,3,IN,0
E000003,2026-05-04,11,363.6,33.05,0.068,26.0,1,desktop,True,0.404,0.201,1,FR,0
E000004,2026-05-02,9,505.4,56.16,0.146,28.0,4,desktop,False,0.506,0.407,5,BR,0
E000005,2026-05-10,5,222.07,44.41,0.108,20.0,6,mobile,True,0.288,0.305,2,DE,0
E000006,2026-04-26,8,558.19,69.77,0.067,34.0,2,tablet,False,0.147,0.305,1,IN,1
E000007,2026-05-16,14,458.48,32.75,0.303,14.0,6,desktop,True,0.296,0.231,0,US,1
E000008,2026-05-03,7,495.96,70.85,0.06,27.0,7,desktop,False,0.413,0.405,1,UK,1
E000009,2026-05-01,5,185.97,37.19,0.133,29.0,4,mobile,True,0.435,0.32,2,IN,1
E000010,2026-04-30,4,276.71,69.18,0.121,30.0,4,mobile,True,0.246,0.48,1,US,1
E000011,2026-05-05,14,167.54,11.97,0.208,25.0,4,mobile,False,,0.432,0,IN,0
E000012,2026-05-07,6,192.65,32.11,0.023,23.0,3,tablet,True,0.497,0.518,0,US,0
E000013,2026-05-04,5,98.66,19.73,0.295,26.0,6,desktop,False,0.613,0.243,0,US,1
E000014,2026-05-06,9,159.25,17.69,0.024,24.0,6,desktop,False,0.613,0.082,2,US,1
E000015,2026-05-13,12,592.82,49.4,0.327,17.0,6,mobile,True,0.227,0.178,1,IN,0
E000016,2026-04-29,9,562.07,62.45,0.1,31.0,2,mobile,False,0.519,0.219,1,BR,0
E000017,2026-05-10,8,763.44,95.43,0.071,20.0,3,desktop,False,0.629,0.334,0,US,0
E000018,2026-05-02,8,610.79,76.35,0.098,28.0,6,mobile,True,0.632,0.27,1,US,0
