client_id,activity_date,subscription_tier,monthly_fee,days_since_last_login,avg_session_duration_min,support_tickets_last_30d,feature_adoption_count,login_frequency_trend,nps_score,contract_length_months,has_dedicated_manager,industry,country,churned
S000001,2026-05-15,Premium,267.0,15.0,14.6,3,4,stable,8.0,1,False,Tech,FR,0
S000002,2026-05-21,Basic,53.0,9.0,24.2,0,5,stable,10.0,27,True,Healthcare,DE,0
S000003,2026-05-16,Enterprise,444.0,14.0,8.1,1,3,stable,1.0,35,True,Retail,US,0
S000004,2026-05-15,Premium,291.0,15.0,19.1,1,5,stable,9.0,33,False,Tech,US,1
S000005,2026-05-16,Basic,36.0,14.0,11.7,3,2,stable,,1,True,Tech,US,0
S000006,2026-05-15,Enterprise,328.0,15.0,24.4,1,6,increasing,2.0,32,False,Finance,US,0
S000007,2026-05-14,Premium,283.0,16.0,9.8,0,1,declining,4.0,23,True,Retail,US,0
S000008,2026-05-18,Premium,213.0,12.0,26.0,3,3,increasing,0.0,12,False,Healthcare,Other,1
S000009,2026-05-13,Basic,68.0,17.0,38.6,1,2,stable,10.0,8,True,Retail,US,1
S000010,2026-05-12,Basic,63.0,18.0,39.3,1,4,declining,9.0,22,True,Finance,US,1
S000011,2026-05-12,Basic,89.0,,32.49910218109046,1,4,increasing,2.0,7,True,Tech,FR,1
S000012,2026-05-23,Enterprise,590.0,7.0,17.0,1,5,increasing,6.0,27,False,Finance,UK,0
S000013,2026-05-12,Premium,151.0,18.0,35.2,3,6,declining,6.0,8,False,Tech,US,1
S000014,2026-05-12,Premium,1541.4515004562572,18.0,33.4,3,3,increasing,8.0,24,False,Retail,US,0
S000015,2026-05-11,Basic,48.0,19.0,17.6,0,4,stable,5.0,35,False,Tech,Other,0
S000016,2026-05-13,Basic,95.0,17.0,19.2,1,3,increasing,7.0,1,True,Tech,US,1
S000017,2026-05-18,Premium,140.0,12.0,26.0,3,4,stable,6.0,6,False,Finance,DE,1
S000018,2026-05-14,Basic,59.0,16.0,3.0,0,1,increasing,2.0,19,False,Finance,FR,0
S000019,2026-05-18,Premium,246.0,12.0,31.3,2,1,declining,8.0,21,False,Healthcare,US,0
S000020,2026-05-18,Premium,118.0,12.0,38.0,0,2,stable,4.0,19,False,Finance,FR,0
S000021,2026-05-10,Premium,280.0,20.0,20.3,1,1,declining,2.0,7,False,Manufacturing,US,1
S000022,2026-05-12,Basic,39.0,18.0,8.0,1,2,stable,3.0,30,False,Manufacturing,US,1
S000023,2026-05-15,Enterprise,662.0,15.0,42.0,0,1,stable,8.0,12,False,Manufacturing,US,0
S000024,2026-05-12,Enterprise,901.0,18.0,27.6,2,7,stable,7.0,29,True,Healthcare,Other,0
S000025,2026-05-16,Premium,183.0,14.0,33.5,1,2,stable,10.0,33,False,Healthcare,US,0
S000026,2026-05-14,Basic,86.0,16.0,9.1,1,3,declining,,24,False,Healthcare,US,0
S000027,2026-05-16,Basic,43.0,14.0,9.2,1,5,stable,4.0,30,False,Finance,Other,1
S000028,2026-05-06,Basic,84.0,24.0,30.0,2,4,stable,4.0,6,False,Tech,US,1
S000029,2026-05-15,Basic,92.0,15.0,37.3,2,7,declining,6.0,10,False,Healthcare,AU,1
S000030,2026-05-20,Premium,221.0,10.0,11.4,2,6,stable,2.0,21,True,Tech,DE,1
S000031,2026-05-12,Premium,240.0,18.0,23.8,1,2,increasing,,16,True,Tech,UK,1
S000032,2026-05-16,Enterprise,456.0,14.0,6.0,3,4,increasing,7.0,32,False,Manufacturing,FR,0
S000033,2026-05-07,Basic,84.0,23.0,16.6,0,6,stable,0.0,35,False,Tech,FR,1
S000034,2026-05-11,Basic,55.0,19.0,21.9,0,3,increasing,5.0,6,False,Finance,US,1
S000035,2026-05-17,Basic,50.0,13.0,30.9,1,6,increasing,9.0,35,False,Healthcare,Other,0
S000036,2026-05-22,Basic,89.0,8.0,1.0,1,3,increasing,7.0,31,True,Tech,Other,0
S000037,2026-05-16,Basic,59.0,14.0,40.8,1,3,increasing,4.0,10,True,Manufacturing,AU,0
S000038,2026-05-14,Basic,31.0,16.0,23.0,1,2,declining,8.0,3,True,Tech,DE,0
S000039,2026-05-12,Basic,79.0,18.0,40.5,2,5,stable,9.0,14,True,Manufacturing,UK,1
S000040,2026-05-16,Premium,264.0,14.0,33.4,3,5,stable,8.0,35,True,Retail,UK,0
S000041,2026-05-18,Basic,94.0,12.0,35.2,0,5,declining,10.0,1,True,Tech,US,0
S000042,2026-05-15,Premium,192.0,15.0,49.2,2,4,stable,10.0,35,False,Tech,UK,0
S000043,2026-05-13,Premium,165.0,,15.6,1,2,increasing,,9,True,Tech,DE,1
S000044,2026-05-16,Basic,92.0,14.0,26.6,3,5,stable,,36,True,Finance,DE,0
S000045,2026-05-12,Premium,257.0,18.0,13.1,1,3,declining,2.0,20,False,Tech,US,1
S000046,2026-05-15,Premium,223.0,15.0,23.8,2,5,increasing,0.0,13,False,Education,UK,0
S000047,2026-05-14,Basic,48.0,16.0,33.6,1,2,declining,6.0,24,False,Tech,DE,0
S000048,2026-05-20,Basic,75.0,10.0,38.5,0,2,stable,2.0,31,False,Manufacturing,US,0
S000049,2026-05-18,Premium,238.0,12.0,20.4,1,5,stable,6.0,12,False,Tech,Other,0
S000050,2026-05-16,Basic,86.0,14.0,10.5,1,6,increasing,4.0,13,True,Education,DE,1
S000051,2026-05-16,Basic,59.0,14.0,25.9,0,3,increasing,2.0,25,False,Tech,US,0
S000052,2026-05-15,Basic,78.0,15.0,14.8,0,8,stable,5.0,4,True,Finance,US,0
S000053,2026-05-18,Premium,267.0,12.0,18.1,3,7,declining,7.0,25,False,Healthcare,DE,0
S000054,2026-05-15,Premium,287.0,15.0,33.1,3,4,stable,9.0,16,False,Tech,US,1
S000055,2026-05-17,Premium,258.0,13.0,30.8,3,5,declining,8.0,11,True,Retail,CA,1
S000056,2026-05-16,Premium,274.0,14.0,35.0,3,7,stable,10.0,29,True,Tech,US,0
S000057,2026-05-10,Basic,44.0,20.0,21.0,1,3,declining,4.0,23,False,Finance,US,0
S000058,2026-05-12,Premium,183.0,18.0,37.1,4,10,increasing,3.0,1,False,Finance,US,0
S000059,2026-05-18,Basic,51.0,12.0,25.2,1,3,declining,8.0,35,False,Healthcare,FR,1
S000060,2026-05-11,Basic,70.0,19.0,21.6,2,5,declining,10.0,16,True,Tech,Other,0
S000061,2026-05-13,Premium,245.0,17.0,11.8,1,3,stable,1.0,1,False,Tech,AU,1
S000062,2026-05-11,Basic,90.0,19.0,1.0,2,6,stable,2.0,22,False,Tech,UK,0
S000063,2026-05-23,Premium,100.0,7.0,6.2,0,3,declining,0.0,13,False,Tech,CA,0
S000064,2026-05-15,Premium,250.0,15.0,188.48096414826253,3,5,increasing,2.0,30,False,Tech,US,0
S000065,2026-05-12,Premium,,18.0,14.1,2,1,increasing,,25,True,Education,UK,1
S000066,2026-05-11,Premium,136.0,19.0,5.3,0,3,declining,7.0,9,False,Finance,Other,0
S000067,2026-05-15,Premium,208.0,15.0,20.0,2,6,stable,6.0,32,False,Healthcare,US,0
S000068,2026-05-16,Basic,44.0,14.0,28.4,2,4,increasing,4.0,4,True,Finance,Other,0
S000069,2026-05-17,Basic,89.0,13.0,30.0,0,3,stable,3.0,13,False,Tech,US,1
S000070,2026-05-20,Basic,88.0,10.0,24.7,1,3,stable,8.0,8,False,Finance,US,1
S000071,2026-05-18,Basic,41.0,12.0,24.3,0,1,declining,8.0,9,False,Tech,UK,0
S000072,2026-05-17,Basic,29.0,13.0,18.5,2,8,stable,9.0,23,False,Tech,AU,1
S000073,2026-05-14,Enterprise,529.0,,32.6,1,6,declining,6.0,29,False,Finance,US,1
S000074,2026-05-13,Basic,89.0,17.0,22.9,5,4,stable,6.0,23,False,Finance,CA,1
S000075,2026-05-15,Basic,79.0,15.0,24.1,0,5,stable,2.0,2,True,Education,US,0
S000076,2026-05-15,Basic,32.0,15.0,37.5,3,1,stable,9.0,13,False,Tech,FR,0
S000077,2026-05-16,Basic,74.0,14.0,34.5,2,6,increasing,10.0,21,True,Finance,UK,0
S000078,2026-05-13,Premium,206.0,17.0,22.8,2,4,increasing,3.0,19,True,Tech,US,0
S000079,2026-05-13,Premium,118.0,17.0,21.1,3,5,stable,3.0,18,False,Tech,DE,0
S000080,2026-05-12,Premium,252.0,18.0,21.0,2,5,declining,0.0,14,False,Retail,DE,0
S000081,2026-05-15,Premium,270.0,15.0,1.0,3,4,increasing,8.0,5,False,Tech,UK,1
S000082,2026-05-17,Basic,57.0,13.0,38.2,2,1,stable,6.0,4,True,Healthcare,US,0
S000083,2026-05-19,Premium,117.0,11.0,16.8,1,3,stable,3.0,1,False,Finance,US,1
S000084,2026-05-14,Basic,86.0,16.0,35.3,2,4,stable,10.0,4,False,Tech,Other,1
S000085,2026-05-22,Basic,37.0,8.0,25.5,2,1,declining,2.0,28,False,Education,DE,1
S000086,2026-05-22,Basic,36.0,8.0,,3,3,stable,6.0,19,False,Finance,CA,1
S000087,2026-05-13,Premium,224.0,17.0,31.4,3,4,stable,1.0,30,False,Retail,DE,0
S000088,2026-05-13,Basic,64.0,17.0,35.9,1,3,stable,8.0,34,False,Finance,CA,0
S000089,2026-05-18,Basic,34.0,12.0,17.9,2,1,stable,,1,False,Education,US,0
S000090,2026-05-16,Premium,224.0,14.0,9.6,1,4,stable,10.0,16,False,Tech,UK,0
S000091,2026-05-19,Basic,40.0,11.0,26.8,1,4,increasing,5.0,12,False,Finance,DE,0
S000092,2026-05-18,Premium,127.0,12.0,2.0,0,6,increasing,8.0,19,True,Retail,US,0
S000093,2026-05-19,Basic,59.0,11.0,19.4,3,3,stable,1.0,26,False,Tech,US,0
S000094,2026-05-18,Basic,35.0,12.0,10.7,4,2,declining,6.0,30,False,Finance,DE,1
S000095,2026-05-15,Basic,77.0,15.0,14.9,1,9,stable,1.0,18,False,Education,CA,0
S000096,2026-05-08,Premium,255.0,22.0,32.1,2,0,increasing,8.0,20,False,Healthcare,DE,1
S000097,2026-05-16,Basic,47.0,14.0,31.4,2,3,stable,0.0,2,False,Healthcare,US,0
S000098,2026-05-17,Basic,75.0,13.0,23.1,1,3,stable,3.0,2,True,Healthcare,Other,0
S000099,2026-05-11,Basic,95.0,,28.8,2,2,declining,10.0,14,False,Manufacturing,US,0
S000100,2026-05-17,Enterprise,739.0,13.0,18.5,1,6,stable,6.0,14,False,Manufacturing,US,0
S000101,2026-05-19,Enterprise,434.0,,54.1,1,3,stable,4.0,17,False,Healthcare,Other,0
S000102,2026-05-17,Premium,177.0,13.0,28.6,1,4,stable,9.0,1,True,Tech,FR,0
S000103,2026-05-15,Basic,43.0,15.0,17.9,3,4,stable,1.0,9,False,Tech,Other,1
S000104,2026-05-11,Enterprise,750.0,19.0,35.5,1,4,increasing,4.0,34,True,Healthcare,CA,0
S000105,2026-05-17,Premium,278.0,13.0,39.9,1,0,stable,8.0,2,True,Manufacturing,DE,1
S000106,2026-05-16,Premium,172.0,14.0,15.7,1,1,stable,9.0,36,False,Finance,US,1
S000107,2026-05-18,Basic,65.0,12.0,8.0,3,2,increasing,7.0,26,True,Tech,US,0
S000108,2026-05-18,Basic,68.0,12.0,10.4,3,2,stable,8.0,9,False,Tech,Other,1
