client_id,activity_date,contract_type,monthly_charges,total_charges,tenure_months,calls_to_support,avg_call_duration_min,data_usage_gb,international_plan,has_technical_issues,payment_delay_count,competitor_offer_seen,region,churned
T000001,2026-05-23,One year,63.67,1969.03,30,2,10.4,16.56,False,False,1,False,North,0
T000002,2026-05-13,Month-to-month,66.0,1542.51,26,1,6.0,9.48,False,True,1,False,Central,0
T000003,2026-05-21,Two year,69.68,1728.62,25,0,9.3,6.92,False,False,1,False,South,0
T000004,2026-05-15,One year,49.09,847.52,19,3,12.4,49.12,False,False,0,False,East,0
T000005,2026-05-21,Month-to-month,83.15,2963.59,37,2,,4.28,False,True,3,False,South,1
T000006,2026-05-24,Two year,93.85,2607.68,30,1,5.5,23.75,False,False,0,False,South,0
T000007,2026-05-20,One year,84.42,2151.53,25,3,3.6,4.52,False,False,0,False,South,0
T000008,2026-05-17,One year,71.29,2129.69,29,0,8.3,17.58,False,False,1,False,South,0
T000009,2026-05-18,Month-to-month,22.21,636.06,27,1,13.6,26.04,False,False,0,True,East,1
T000010,2026-05-14,Month-to-month,115.27,1864.76,17,0,11.2,4.14,False,True,1,False,Central,1
T000011,2026-05-21,Month-to-month,66.76,1355.82,21,5,15.9,20.84,False,True,2,True,South,1
T000012,2026-05-17,Two year,74.35,2116.27,27,4,19.0,7.26,False,False,1,False,Central,0
T000013,2026-05-20,One year,43.85,1324.53,31,1,7.6,1.9,False,True,1,True,East,0
T000014,2026-05-17,Two year,58.56,1580.66,28,1,10.5,23.11,False,False,1,True,East,1
T000015,2026-05-24,Month-to-month,100.38,3430.61,33,5,8.0,5.21,False,False,1,False,North,1
T000016,2026-05-21,Month-to-month,88.48,1997.04,22,2,5.8,7.06,False,False,1,False,North,0
T000017,2026-05-23,One year,55.66,1224.83,21,0,9.8,3.73,False,False,1,False,Central,0
T000018,2026-05-18,Month-to-month,110.83,2043.05,18,2,9.0,6.85,False,False,1,True,East,1
T000019,2026-05-17,Two year,34.72,1055.17,31,5,7.8,37.49,False,True,1,True,South,1
T000020,2026-05-24,One year,20.0,384.74,18,1,6.6,50.37,True,False,1,True,West,1
T000021,2026-05-16,One year,20.0,459.43,22,0,8.5,,False,False,2,False,South,0
T000022,2026-05-23,Month-to-month,88.85,2308.08,26,4,6.5,10.44,False,True,1,True,West,1
T000023,2026-05-20,Two year,44.12,1336.12,29,2,7.5,14.94,False,True,2,False,South,1
T000024,2026-05-18,Two year,60.79,1336.46,22,2,3.6,5.18,False,False,3,False,Central,0
T000025,2026-05-20,One year,97.83,3078.74,33,2,4.8,20.06,False,True,1,True,South,1
T000026,2026-05-19,Month-to-month,74.86,1731.36,23,1,5.9,37.7,True,True,1,False,North,1
T000027,2026-05-25,Month-to-month,29.42,838.49,26,4,8.8,4.53,False,False,0,False,West,0
T000028,2026-05-18,Month-to-month,113.73,3350.14,28,2,8.3,122.49476373534421,True,False,1,False,North,1
T000029,2026-05-24,Month-to-month,56.27,574.4,10,0,5.6,4.61,True,False,0,False,Central,0
T000030,2026-05-20,One year,63.11,1446.78,24,1,6.0,9.55,True,True,2,False,East,0
T000031,2026-05-25,One year,43.62,1066.93,26,3,8.8,89.59,False,False,0,False,North,0
T000032,2026-05-18,Two year,31.53,903.22,29,1,6.1,53.88,False,False,0,False,North,0
T000033,2026-05-19,Month-to-month,71.91,1464.26,21,7,4.2,4.06,False,False,1,False,Central,1
T000034,2026-05-15,Month-to-month,21.76,500.89,23,3,10.7,23.71,False,False,2,False,East,1
T000035,2026-05-20,Month-to-month,62.51,1826.4,29,2,2.6,4.18,False,False,1,False,Central,0
T000036,2026-05-24,Month-to-month,112.56,2823.0,27,5,3.8,18.35,False,True,1,False,North,1
T000037,2026-05-20,Month-to-month,87.54,2432.23,29,1,12.5,8.8,False,False,1,True,Central,0
T000038,2026-05-22,Month-to-month,71.09,1606.07,23,5,3.4,19.83,False,False,3,False,East,1
T000039,2026-05-23,Month-to-month,32.05,786.0,24,2,14.0,15.79,False,False,0,False,East,1
T000040,2026-05-22,One year,63.18,1810.9,28,1,21.71506076265175,14.78,False,False,0,False,South,0
T000041,2026-05-20,Month-to-month,41.12,1091.82,28,0,4.1,10.39,False,False,0,False,North,0
T000042,2026-05-15,Two year,108.27,2439.28,24,3,3.8,73.15,False,False,0,False,Central,0
T000043,2026-05-25,One year,50.78,1306.22,27,3,2.8,8.23,False,False,0,False,Central,0
T000044,2026-05-24,Month-to-month,41.42,1119.83,26,1,13.6,7.16,False,False,2,False,South,0
T000045,2026-05-20,Two year,58.47,1484.18,26,1,12.8,42.67,False,False,2,True,Central,1
T000046,2026-05-18,Two year,41.55,710.08,17,5,18.377299828863777,5.29,False,False,0,False,North,1
T000047,2026-05-20,Month-to-month,72.07,2060.03,28,1,14.3,27.43,False,True,0,False,North,1
T000048,2026-05-19,Month-to-month,119.64,3174.54,25,3,3.1,9.46,True,False,0,True,North,0
